symbol,display_symbol,name,aliases,shortname,last_price_usd,price_change_1H_percent,price_change_1D_percent,price_change_7D_percent,price_change_30D_percent,price_change_90D_percent,price_change_180D_percent,price_change_365D_percent,price_change_YTD_percent,volume_24_usd,display,trading_since,supply,last_update,ico_end,include_supply,use_volume,market_cap_usd
BTC,BTC,Bitcoin,,bitcoin,6025.1,,-1.7109841265317067,-7.373966084002076,-19.75121642122688,-26.905141644301047,-60.977861821422174,122.75609477997497,,3728670367,true,2010-08-16 00:00:00,17112563,,,true,true,103104840640
ETH,ETH,Ethereum,,ethereum,451.23,,-4.235272703740884,-9.927284026953323,-24.326575082437095,-9.948226905436012,-41.5740516694487,33.72367739824306,,1912414200,true,2015-08-07 14:55:00,100273426,,,true,true,45245988763
XRP,XRP,XRP,ripple,ripple,0.4696833735191636,,-3.491900024068231,-11.530886415694976,-23.632981434589038,-23.319301889366766,-57.83138433812232,48.01581561414445,,257887362,true,2013-08-04 18:55:00,39245304677,,,true,true,18432867095
BCH,BCH,Bitcoin Cash,,bitcoin-cash,719.91,,-4.411694865895407,-14.514972208056417,-29.734639775565864,-21.759407276498713,-76.01957119428639,,,352002818,true,2017-07-23 16:35:00,17200772,,,true,true,12382968022
EOS,EOS,EOS,,eos,7.71,,-8.645234606030904,-27.018294813652048,-37.51067880315003,27.384344861402845,-8.701705144673943,,,1017171759,true,2017-08-07 00:09:36,896149492,,,true,true,6905535020
LTC,LTC,Litecoin,,litecoin,78.85,,-5.368454561641324,-17.572074077878515,-34.593416973354024,-48.56912421852437,-72.04346706631081,71.06718193966955,,378362909,true,2013-04-28 18:50:00,57116465,,,true,true,4503656169
XLM,XLM,Stellar,,stellar,0.1916554266271778,,-4.365047482244823,-16.995628714980278,-34.14471963536162,-16.82299406001602,-12.679520787569379,379.7122015881682,,33726053,true,2014-08-05 05:50:00,18759610783,,,true,true,3595381208
ADA,ADA,Cardano,,cardano,0.13008906999650352,,-6.221886945772267,-20.217781624577626,-36.10047976147101,-23.238182665941544,-68.96252781556291,,,55168551,true,2017-10-01 20:45:00,25927070537,,,true,true,3372828494
TRX,TRX,TRON,,tron,0.04167206354861107,,-4.78142663165685,-3.214239420537842,-41.469088443234824,-2.5164073003894734,17.463048355844307,,,175911764,true,2017-09-13 01:20:00,65748111645,,,true,true,2739859487
IOT,MIOTA,IOTA,,iota,0.9700588774265742,,-4.186388514435477,-18.112935817854368,-36.21370849349058,-22.783238477401106,-73.69050056364426,80.82800497136371,,57832965,true,2017-06-13 14:35:00,2779530282,,,true,true,2696308026
USDT,USDT,Tether,,tether,1.0000133428993057,,-0.00018717586268694058,0.001334289930565724,0.001334289930565724,-0.31413769751695403,0.001334289930565724,,,3643132357,true,2017-08-06 00:09:09,2607140346,,,true,true,2607175133
OKB,OKB,OKB,,okb,3.73,,-6.46369510587416,-6.630004118074265,-2.4923186849952277,,,,,84277977,true,2018-04-17 10:27:11,599999999,,,true,true,2236726859
NEO,NEO,NEO,,neo,31.65,,-5.814463076503653,-17.35602664212207,-41.31093060564011,-47.80096039223156,-50.92027145509284,372.2487685972735,,56422348,true,2016-09-09 03:15:00,65000000,,,true,true,2057473179
DASH,DASH,Dash,,dash,236.87,,-2.718275621263772,-10.998254214016583,-30.225451913994632,-40.236124162524575,-80.37374635524391,27.19931324158048,,40573470,true,2014-02-14 13:50:00,8151063,,,true,true,1930779981
XMR,XMR,Monero,,monero,115.41,,1.027544840234785,-7.600550702679944,-31.302424297999764,-42.32289549307717,-68.66042606577723,131.57641983635216,,38742939,true,2014-05-21 01:45:00,16161760,,,true,true,1865148725
BNB,BNB,Binance Coin,,binance-coin,14.45,,-8.02632931180322,-12.408239196999183,11.135269924858703,20.892738006674698,80.74993539295387,,,87801225,true,2017-08-16 00:09:21,114041290,,,true,true,1648285594
ETC,ETC,Ethereum Classic,,ethereum-classic,14.34,,-3.089347744480476,-1.4337680753514022,-7.175078111078902,-15.155603124501088,-55.963256490883886,-31.512116838449927,,210852534,true,2016-07-24 13:50:00,102529040,,,true,true,1470251707
XEM,XEM,NEM,,nem,0.15319004743750006,,-6.991493544360444,-22.054470496126218,-42.72935380784188,-43.64962519140823,-84.10025560004017,-20.777121662433988,,16138707,true,2015-04-01 00:35:00,8999999998,,,true,true,1378710427
OMG,OMG,OMG Network,,omisego,7.71,,-5.605378991188043,-15.736290823732277,-29.633287488032188,-25.018404272120616,-48.89269764791741,,,19392727,true,2017-07-14 04:40:00,102042552,,,true,true,786676198
QTUM,QTUM,Qtum,,qtum,8.72,,-6.600428589705944,-20.988988050104087,-34.787187074946694,-47.048261298628404,-85.5239151532193,,,41058806,true,2017-08-06 00:09:30,88664516,,,true,true,772741792
ONT,ONT,Ontology,,ontology,4.78,,-7.12379810519143,-22.81843720004565,-27.62428303089111,195.47760573040182,,,,85829707,true,2018-03-08 07:20:00,151292175,,,true,true,723042782
ZEC,ZEC,Zcash,,zcash,162.56,,-3.2261644012774746,-14.179109018354886,-43.18851674791118,-29.14261058055284,-71.19078985763278,-56.710435886266254,,20357890,true,2016-10-29 15:25:00,4207522,,,true,true,683973770
ICX,ICX,ICON,,icon,1.6210965828125004,,-7.2741264920919715,-20.516223233618202,-40.68328970092507,-49.40761530204736,-73.60436368754148,,,30918568,true,2017-10-27 00:25:00,387431339,,,true,true,628063621
LSK,LSK,Lisk,,lisk,5.45,,-1.0773709049272402,-15.54855270973549,-40.47208913398334,-52.06062876161801,-78.1065341747903,61.80710155412845,,7363032,true,2016-06-05 00:09:26,107277688,,,true,true,584127070
DCR,DCR,Decred,,decred,69.26,,-6.82775042800997,-24.33919481518934,-31.68896656669633,41.10864568138167,-25.952375641660936,53.0126477198134,,5052616,true,2016-02-10 20:05:00,7145743,,,true,true,494939773
BCN,BCN,Bytecoin,,bytecoin-bcn,0.0026144052743055563,,-8.188561502413572,-37.90720898817015,-62.25358290750117,3.53154440890574,-60.141513655233716,-6.8901839852847,,7916534,true,2014-06-17 13:05:00,183890481254,,,true,true,480764244
ZIL,ZIL,Zilliqa,,zilliqa,0.06247072404513893,,-10.123685971970575,-27.22083670342862,-48.93980634829334,27.12043573214407,,,,21330012,true,2018-01-25 13:40:00,7575893443,,,true,true,473271549
AE,AE,Aeternity,,aeternity,1.8076883361979172,,-8.680875289775766,-30.67233539225392,-43.89805589533453,11.576661641805659,27.635340063712516,,,6885361,true,2017-08-12 00:10:00,233020471,,,true,true,421228389
BTG,BTG,Bitcoin Gold,,bitcoin-gold,24.15,,-7.117080331893651,-26.237384703024468,-47.772537734807166,-57.91615252072562,-92.08336770686955,,,9820377,true,2017-10-23 19:45:00,17084691,,,true,true,412544625
BTM,BTM,Bytom,,bytom,0.36304746002777766,,-11.302137033025497,-35.9107712838193,-41.405559769209816,-5.209718078323329,-9.487148532339027,,,39170252,true,2017-08-10 00:09:24,1002499275,,,true,true,363954815
SC,SC,Siacoin,,siacoin,0.010271956346153844,,-6.880896770514043,-19.459127032635067,-35.78698880871818,-27.35303587952603,-63.61315068301072,-44.06583590335495,,3176876,true,2015-08-26 18:25:00,35255014887,,,true,true,362137974
ZRX,ZRX,0x,,0x,0.6642813766909721,,-7.509412027578765,-23.299144658881964,-50.34243232917783,12.65509611926465,4.74554299339597,,,6966554,true,2017-08-16 14:15:00,532194040,,,true,true,353526590
BTS,BTS,BitShares,,bitshares,0.13073066349652768,,-4.3497733214151415,-18.87486767984431,-34.12233863468404,-12.244549991070745,-77.19866992257504,-59.555004561853245,,4891382,true,2014-07-21 03:50:00,2636020579,,,true,true,344608719
XVG,XVG,Verge,,verge,0.022884914149825786,,-6.144332131907908,-18.28250675411858,-46.127982656697554,-42.45661890104457,-86.83456107310641,538.9438946615211,,5118585,true,2014-10-25 22:20:00,15054315539,,,true,true,344516719
STEEM,STEEM,Steem,,steem,1.2814059244548608,,-5.132238308979523,-22.070291044434658,-54.008186382601984,-32.23184891853278,-62.180724198214456,-40.501214458960696,,1506795,true,2016-04-18 16:25:00,264324460,,,true,true,338706930
REP,REP,Augur,,augur,29.72,,-3.0702184837268205,-10.798804571411571,-26.596649793571224,-10.935821432366708,-64.3627041024893,,,1256729,true,2017-08-07 00:09:14,10999999,,,true,true,326871244
MKR,MKR,Maker,,maker,517.79,,-1.291979284170753,-6.481307203316161,-33.52210481554873,-21.28026254396435,-58.224859208805604,,,26028,true,2017-08-27 23:15:00,618227,,,true,true,320114383
NANO,NANO,Nano,,nano,2.3,,-9.166419223999343,-14.528010226347005,-48.38495669423899,-67.65585874063261,-70.52607859992666,1974.7515749967067,,6943755,true,2017-03-07 00:40:00,133248289,,,true,true,306279115
REV4,REV,RChain,,rchain,0.8099085968611112,,1.14994982734972,-21.012670121426044,-36.72054172039931,-29.43373003353124,34.11445435656484,,,339370,true,2017-10-06 22:45:00,360627686,,,true,true,292075464
DOGE,DOGE,Dogecoin,,dogecoin,0.0025093864270833324,,-4.115941202252312,-13.02774434453029,-28.90225721995075,-24.775993919452556,-72.01552025390635,-20.55882681123759,,3066371,true,2013-12-15 14:50:00,114997328228,,,true,true,288572735
WAVES,WAVES,Waves,,waves,2.68,,-6.558612762350078,-21.450009545759183,-41.40223160386039,-40.957173208728555,-81.53624108085357,-47.337389643919664,,19224451,true,2016-06-02 21:20:00,100000000,,,true,true,267849857
