symbol,display_symbol,name,aliases,shortname,last_price_usd,price_change_1H_percent,price_change_1D_percent,price_change_7D_percent,price_change_30D_percent,price_change_90D_percent,price_change_180D_percent,price_change_365D_percent,price_change_YTD_percent,volume_24_usd,display,trading_since,supply,last_update,ico_end,include_supply,use_volume,market_cap_usd
BTC,BTC,Bitcoin,,bitcoin,10039,,-4.3588250014208105,-15.05550852901694,-3.2806590594711533,36.913723551529856,178.3665410529449,57.20554610789401,,24657040358,true,2010-08-16 00:00:00,17877821,,,true,true,179480190849
ETH,ETH,Ethereum,,ethereum,185.28,,-8.440387558194816,-16.90723519465496,-15.296284404144615,-22.910319028914635,51.53733922286757,-35.661788918307266,,8414802604,true,2015-08-07 14:55:00,107330131,,,true,true,19885604353
XRP,XRP,XRP,ripple,ripple,0.2623203653541668,,-8.428255400905762,-14.793625968749824,-15.005417571924795,-31.4607544908296,-12.744056714068181,-7.171518779594352,,1778973979,true,2013-08-04 18:55:00,42890708341,,,true,true,11251106282
BCH,BCH,Bitcoin Cash,,bitcoin-cash,309.5,,-7.011997022885719,-6.726666403264359,3.2397063797807353,-15.403396321380658,154.7228998674826,-40.79006291383235,,1347515298,true,2017-07-23 16:35:00,17948574,,,true,true,5555083524
LTC,LTC,Litecoin,,litecoin,75.62,,-7.953841353413547,-16.08206481625119,-12.504684699419114,-14.91854345750877,74.5743463993117,34.45973748963305,,3406299528,true,2013-04-28 18:50:00,63041693,,,true,true,4767137266
BNB,BNB,Binance Coin,,binance-coin,27.35,,-3.5723017557399532,-10.910054771086319,-0.34663424144296767,8.789116302709967,200.56393689646748,174.35782552561685,,192339876,true,2017-08-16 00:09:21,155536713,,,true,true,4253944284
USDT,USDT,Tether,,tether,0.9997603732986112,,-0.11227827444278586,-0.12038229558161398,-0.18384193386398875,-0.5612381446716588,0.41191400123363364,-0.02547054904223442,,38656482546,true,2017-08-06 00:09:09,4042555317,,,true,true,4041586613
EOS,EOS,EOS,,eos,3.6,,-8.984071190250232,-14.126813365570696,-11.62096659169021,-40.153840068180244,28.393509357545128,-23.846175896312165,,2247118113,true,2017-08-07 00:09:36,927549573,,,true,true,3338128291
BCHSV,BSV,Bitcoin SV,,bitcoin-sv,132.79,,-8.671510316596692,-8.099398990693949,7.038305962352101,123.81267568862549,113.10239907175684,,,470984807,true,2018-11-09 02:40:00,17854986,,,true,true,2370993636
XMR,XMR,Monero,,monero,79.03,,-4.38110409046112,-15.52535232964983,-4.488798133036601,-6.516412371510782,67.99214994932257,-12.304213922468644,,113764678,true,2014-05-21 01:45:00,17155754,,,true,true,1355748614
XLM,XLM,Stellar,,stellar,0.06864237151736109,,-5.4173331930841435,-11.223062870467434,-18.461481650047574,-45.33649752466653,-12.095846436837512,-69.3807106605157,,128148639,true,2014-08-05 05:50:00,19633173612,,,true,true,1347667597
LEO,LEO,UNUS SED LEO,,unus-sed-leo,1.2345983076679246,,-1.6290465593177066,-1.6766641193025549,-12.016586915703185,,,,,1311032,true,2019-05-21 18:40:00,999498893,,,true,true,1233979642
ADA,ADA,Cardano,,cardano,0.04699016714583331,,-8.062908197603287,-8.945454775800519,-17.02592253259198,-41.691522991658324,15.284213055578372,-51.85479767799509,,89201694,true,2017-10-01 20:45:00,25927070538,,,true,true,1218317378
TRX,TRX,TRON,,tron,0.017329020253472233,,-11.676333253187032,-20.85300112287879,-27.52670791021783,-34.47744659156504,-26.376076769680367,-12.560965445203045,,458389254,true,2017-09-13 01:20:00,66671432937,,,true,true,1155350612
DASH,DASH,Dash,,dash,94.56,,-5.311887360075226,-10.543301207051083,-18.12455903431809,-30.74846304469864,21.157656372741112,-38.22044586957923,,200631972,true,2014-02-14 13:50:00,8981351,,,true,true,849313967
LINK,LINK,ChainLink,,chainlink,2.33,,-5.302271662530274,-2.118050906074678,-9.071520756096932,160.93653469749302,434.2462743905436,767.4897707392931,,108405053,true,2017-09-20 21:00:00,349999999,,,true,true,815904711
XTZ,XTZ,Tezos,,tezos,1.140469857598592,,-6.5878421392563125,-19.689938881596518,24.829553203439502,-32.00895943284078,163.24584518014981,-19.173663817841994,,14628696,true,2017-10-02 16:04:41,660373612,,,true,true,753136199
NEO,NEO,NEO,,neo,9.61,,-5.425754823716904,-15.015591660434236,-17.79510128560898,-16.16109099058185,18.871558161820282,-41.53002983173175,,358385609,true,2016-09-09 03:15:00,70538831,,,true,true,678154961
IOT,MIOTA,IOTA,,iota,0.2338000725964911,,-6.005236069813741,-14.330912905368983,-20.079035082891398,-39.06275359143929,-14.31976957306438,-50.35136836284534,,8538693,true,2017-06-13 14:35:00,2779530283,,,true,true,649854382
ETC,ETC,Ethereum Classic,,ethereum-classic,5.59,,-4.85256292301525,-6.550818414458501,-1.9173374151848843,-22.354255033230036,36.374468163759914,-54.049523382402306,,588387143,true,2016-07-24 13:50:00,112720911,,,true,true,630326858
ATOM,ATOM,Cosmos,,cosmos,2.88,,-8.672843545535153,-15.094917825415646,-27.990835925042965,-35.05662832677805,,47192.31575522745,,133947558,true,2016-10-09 22:35:00,190688439,,,true,true,548278078
XEM,XEM,NEM,,nem,0.05315929673426575,,-3.599260443741118,-14.342611878970304,-19.67459730598499,-38.46667831966073,28.413193860161478,-51.45482895734014,,30308954,true,2015-04-01 00:35:00,8999999998,,,true,true,478433671
MKR,MKR,Maker,,maker,454.63,,-3.42458877388197,-15.658103789264974,-18.193187834025608,-27.505693220944416,-11.71141391379965,8.173346284057518,,1606703,true,2017-08-27 23:15:00,1000000,,,true,true,454625222
USDC,USDC,USD Coin,,usd-coin,0.9986993876583625,,-0.2554409691282768,-0.4044875235810384,-0.018214702696139395,-0.8048095672966543,-0.5043832465746484,,,170785994,true,2018-10-08 12:10:00,418495438,,,true,true,417951138
CRO,CRO,Crypto.com Coin,,crypto-com-coin,0.045709646281249995,,-4.33329440501599,-3.919356786818707,-28.91142817928996,-31.11520775534336,266.60387935370676,,,21725565,true,2018-12-14 13:00:00,8997081264,,,true,true,411253402
ONT,ONT,Ontology,,ontology,0.7648494208715275,,-8.94712866035058,-16.947169819676862,-12.558113393966295,-42.957155554834735,17.70005443999039,-40.709964396775554,,91691774,true,2018-03-08 07:20:00,533255141,,,true,true,407859887
ZEC,ZEC,Zcash,,zcash,50.06,,-7.709810673183686,-19.707597777568772,-33.62351340523817,-29.803696049989025,-1.6358618425355027,-63.86212798807512,,168704957,true,2016-10-29 15:25:00,7196173,,,true,true,360245107
VSYS,VSYS,V Systems,,v-systems,0.20056751781250004,,-4.621591370547265,-9.215456944073818,-5.447006159985423,69.15594050216227,,,,29264856,true,2019-03-05 16:40:00,1780672978,,,true,true,357145159
DOGE,DOGE,Dogecoin,,dogecoin,0.0026573145625000006,,-7.271044148126317,-11.17315947186924,-11.08603295928364,-10.733373331526774,38.79142412259692,13.880299568245777,,40623698,true,2013-12-15 14:50:00,120783600294,,,true,true,320960020
VET,VET,VeChain,,vechain-token,0.004610690364583333,,-3.2676882368601508,-6.281026290154655,-14.955722321923279,-37.222943985501594,14.021413967722157,-43.03320964736923,,8190286,true,2018-07-24 04:10:00,55454549399,,,true,true,255683757
DCR,DCR,Decred,,decred,24.6,,-4.4003763182894025,-12.501268173209215,-13.455993015603553,-13.037976991674347,52.68697182351531,-35.63520900509163,,7109354,true,2016-02-10 20:05:00,10237641,,,true,true,251881197
HT,HT,Huobi Token,,huobi-token,4.93,,-1.902516759685339,-3.122143600692821,18.77399015055715,92.50997341261285,348.5088046598383,151.78331634211344,,155252503,true,2018-02-03 20:00:00,50000199,,,true,true,246321860
BTG,BTG,Bitcoin Gold,,bitcoin-gold,13.78,,-12.604192253463525,-15.291548587435413,-49.725580447146235,-35.72580768547579,36.182599242299,-18.44599335097563,,14260045,true,2017-10-23 19:45:00,17513924,,,true,true,241387303
QTUM,QTUM,Qtum,,qtum,2.34,,-8.423903034748644,-17.945027513963886,-21.826338484035386,-18.656048407891078,20.387896104762905,-48.567045959452365,,229871872,true,2017-08-06 00:09:30,95943834,,,true,true,224370770
BAT,BAT,Basic Attention Token,,basic-attention-token,0.1751887681707316,,-6.871230345766824,-19.66897787876222,-23.449680848152425,-51.33607107552375,36.511072303057794,-11.9942954783869,,18706384,true,2017-08-08 00:09:19,1277719713,,,true,true,223842143
TUSD,TUSD,TrueUSD,,trueusd,0.998506200364662,,-0.5869121994502311,-0.36243427401681094,-0.3803897817534476,-0.965265114802377,-0.6892783278513323,-0.5730987958701386,,415701486,true,2018-03-06 04:40:00,194544193,,,true,true,194253584
PAX,USDP,Pax Dollar,,pax-dollar,0.9998048183799281,,-0.23607287477266686,-0.24827604624943367,0.10609868674989151,-0.6714894043054938,0.44729440779560525,,,202783922,true,2018-09-27 21:00:00,182060387,,,true,true,182024853
EGT,EGT,Egretia,,egretia,0.04201092563888892,,-10.59193523748279,-2.8992926632386293,-44.07965001518751,1504.124575263977,12425.090937844285,1380.9631585136917,,26920773,true,2018-06-26 11:55:00,4217626654,,,true,true,177186400
OMG,OMG,OMG Network,,omisego,1.1527868668472214,,-10.29269401714167,-19.640584055017012,-22.36513910862731,-40.8314265018892,-1.0721773944728932,-69.21615678014851,,68635689,true,2017-07-14 04:40:00,140245398,,,true,true,161673053
ALGO,ALGO,Algorand,,algorand,0.7192441435839162,,-9.422982854192446,1.9348694991022442,-4.935915385819055,,,,,77943952,true,2019-06-19 09:40:00,216181418,,,true,true,155487219
KCS,KCS,KuCoin Token,,kucoin,1.652539442822299,,-3.332042552717825,-8.542660378398699,17.52188277148092,62.387977706354036,350.4304764413816,20.56707155944914,,30195961,true,2017-10-24 17:45:00,88821170,,,true,true,146780487
RVN,RVN,Ravencoin,,ravencoin,0.03404443627430554,,-5.501975488239967,-12.874210299425265,-17.65330221929538,-36.69946768667349,228.58350801154748,73.7037095704145,,12038455,true,2018-03-10 20:45:00,4200876227,,,true,true,143016463
NANO,NANO,Nano,,nano,1.031312439961805,,0.027305323166526813,-3.7958198582072855,5.4352001007247965,-40.27827658432529,23.631893141519633,-7.334246985384262,,2898136,true,2017-03-07 00:40:00,133248297,,,true,true,137420626
LSK,LSK,Lisk,,lisk,1.143645179138889,,-4.8529308409503225,-17.053296115155874,-6.613776924671215,-41.85307150433041,-1.6090574261513513,-61.83250808494587,,2779331,true,2016-06-05 00:09:26,119340230,,,true,true,136482880
BTT,BTT,BitTorrent,,bittorrent-token,0.0006118914756944447,,-7.976497030173042,-16.969274775497215,-37.11613151997872,-28.453076044930945,-31.913272873416986,,,18788456,true,2019-01-31 10:10:00,212116499999,,,true,true,129792278
NRG,NRG,Energi,,energi,6.6,,-2.570962078891136,-5.221527596476529,8.419007823702275,197.23278216043957,1052.3441371142972,,,2421717,true,2018-08-24 03:05:00,19584440,,,true,true,129209825
BCD,BCD,Bitcoin Diamond,,bitcoin-diamond,0.692066515763889,,-9.130861572099533,-12.504188885061081,-13.254986348973183,-25.781695834686687,-3.2494915928245867,-35.59781966472062,,5617653,true,2017-11-24 16:40:00,186492897,,,true,true,129065490
WAVES,WAVES,Waves,,waves,1.194561726819445,,-5.083037034003712,-10.489148355130087,-21.26725819082347,-50.62584052748855,-54.49055483617049,-39.208255706423614,,16865761,true,2016-06-02 21:20:00,99999999,,,true,true,119456173
HOT2,HOT,Holo,,holo,0.00083322513986014,,-8.22782867336378,-9.707221905387195,-33.707828970377754,-40.237739718849774,-35.83024966656135,40.87152516955659,,2055212,true,2018-04-30 22:20:00,133214575156,,,true,true,110997733
AOA,AOA,Aurora,,aurora,0.016859816932142863,,-4.870977594527493,-10.458546897729502,-18.911969524763514,-14.918698082202123,169.51784891425126,-22.46175481979081,,6560687,true,2018-06-26 17:45:00,6542330148,,,true,true,110302489
DGB,DGB,DigiByte,,digibyte,0.009075845722222226,,-8.273785710448761,-12.17637020300878,-16.55493764541719,-27.266328471732077,0.6511162197884685,-64.0040626459795,,1399859,true,2014-02-06 13:20:00,12149421952,,,true,true,110266279
REP,REP,Augur,,augur,9.67,,-8.146248649799652,-13.50975946301557,-20.69541489578286,-55.58683269179515,-27.858207690196917,-43.543989208751746,,60060164,true,2017-08-07 00:09:14,11000000,,,true,true,106414289
BTS,BTS,BitShares,,bitshares,0.038635420159722225,,-7.518236126999164,-13.562388063312413,-9.861079473387413,-40.03073984665262,-5.858695286543707,-61.80426091052031,,7059458,true,2014-07-21 03:50:00,2739686920,,,true,true,105848955
BCN,BCN,Bytecoin,,bytecoin-bcn,0.000569423759581882,,-5.074421368863448,-3.0636525131086225,-22.48057978900195,-37.3695155917675,-6.978771429198447,-65.3410334806368,,26725,true,2014-06-17 13:05:00,184066828813,,,true,true,104812026
XIN,XIN,Mixin,,mixin,221.67,,-5.279037714276862,-0.6560709961394967,13.145807408979044,30.395793649074008,89.4426436002145,-0.601252338527491,,171154,true,2018-01-09 07:10:00,456441,,,true,true,101181422
MONA,MONA,MonaCoin,,monacoin,1.5240532813541676,,-5.5880071983841315,-18.10529951095299,-19.30241635421189,37.62185518940274,191.68684604310053,-4.471898206894928,,9452238,true,2014-03-20 05:15:00,65729674,,,true,true,100175527
IOST,IOST,IOStoken,,iostoken,0.008291400473867597,,-4.303849104084038,-21.275575804832226,11.675443755575204,-31.468264394469948,24.143012302026072,-28.44324373802837,,32745477,true,2018-01-16 01:50:00,12013965609,,,true,true,99612600
ZRX,ZRX,0x,,0x,0.16510059122222237,,-6.153136188669766,-15.422282112073237,-32.53953286038602,-50.066389539560575,-28.15437721502517,-77.28871598082202,,18397716,true,2017-08-16 14:15:00,600389990,,,true,true,99124742
EKT,EKT,EDUCare,,educare,0.14819595162499988,,-5.951146668383168,2.4762892524077906,32.0969076239258,195.23732091438478,1937.486634924165,388.2148775026911,,11985703,true,2018-01-25 00:05:00,650000000,,,true,true,96327369
ICX,ICX,ICON,,icon,0.19014751971180546,,-2.367121311323739,-12.694967100861687,-28.169562575738233,-46.81597595864624,-14.30176331869086,-64.90736816530246,,7884630,true,2017-10-27 00:25:00,490453304,,,true,true,93258479
KMD,KMD,Komodo,,komodo,0.7988590984479174,,-5.331926449423281,-6.251731536392875,-38.38072723341697,-29.41953980008941,7.781703200447851,-25.83781729221396,,2540701,true,2017-02-05 23:55:00,115461859,,,true,true,92237757
QNT,QNT,Quant,,quant-network,7.28,,-8.916427249002929,-18.899992769420447,-30.96721366445928,269.9904211135411,83.1674615344674,2791.6566071575703,,4005908,true,2018-06-30 10:30:00,12072737,,,true,true,87872224
SC,SC,Siacoin,,siacoin,0.002035213829861112,,-7.9792582913385495,-17.11284506706931,-26.694245809240613,-35.35215856403081,-10.069315498112044,-60.78458437148082,,3463460,true,2015-08-26 18:25:00,41817047633,,,true,true,85106634
BTM,BTM,Bytom,,bytom,0.0797809145833333,,-10.571574632661973,-25.367467001651985,-26.37997978628359,-32.697856501929756,0.34975581751895385,-46.26643357188392,,15677624,true,2017-08-10 00:09:24,1002499275,,,true,true,79980309
BXK,BXK,BitBook AG,,bitbook-ag,0.21398487994791682,,14.478944544514711,13.830389468269399,143.26660690097916,112.20861361108881,,,,916287,true,2019-05-16 09:30:00,368387490,,,true,true,78829353
DAI,DAI,Multi-Collateral Dai,,dai,1.0055090693581556,,1.150165009580981,0.583054374293121,1.8224477320901655,0.7613114448665018,2.6532842679943363,0.3723636795879146,,26275134,true,2017-12-27 01:40:00,78258253,,,true,true,78689384
XVG,XVG,Verge,,verge,0.004864186767361111,,-4.947188556480481,-14.99980635765973,-16.522112871271457,-50.47982937480157,-18.127994128596526,-58.866003415824174,,1960807,true,2014-10-25 22:20:00,15881034612,,,true,true,77248318
THETA,THETA,Theta Token,,theta-token,0.10724372797569447,,-6.852770524898284,-10.495854914538857,7.183667741455137,-0.43714189272535303,21.868397984488276,57.998686974435564,,1669263,true,2018-01-17 17:40:00,706502688,,,true,true,75767982
