symbol,display_symbol,name,aliases,shortname,last_price_usd,price_change_1H_percent,price_change_1D_percent,price_change_7D_percent,price_change_30D_percent,price_change_90D_percent,price_change_180D_percent,price_change_365D_percent,price_change_YTD_percent,volume_24_usd,display,trading_since,supply,last_update,ico_end,include_supply,use_volume,market_cap_usd
BTC,BTC,Bitcoin,,bitcoin,34847,,1.5559387893063232,8.168230636747742,82.32833078699079,205.71368282961,281.2023133546011,329.817830331405,,176864618866,true,2010-08-16 00:00:00,18598214,,,true,true,648089950367
ETH,ETH,Ethereum,,ethereum,1086.47,,1.2510870310170734,2.790345448288961,86.99311944771773,185.6817970861238,363.57760703145226,656.6929129228693,,79469006351,true,2015-08-07 14:55:00,114219895,,,true,true,124096575847
USDT,USDT,Tether,,tether,1.0001594791666666,,0.02900726205999705,-0.09443963587901469,-0.01978546330834473,-0.07525596472508815,0.003856610092269306,0.029272483665231955,,243993497833,true,2017-08-06 00:09:09,22126803706,,,true,true,22130332471
XRP,XRP,XRP,ripple,ripple,0.29372680917013905,,3.821202841628434,27.393342785460106,-42.40606976890323,16.248710954202412,51.961827724710055,38.78724816153621,,15712688569,true,2013-08-04 18:55:00,43299885508,,,true,true,12718337208
LTC,LTC,Litecoin,,litecoin,138.05,,-1.1822321582644266,-10.747807959047467,73.38759390812287,175.79082318048393,226.62452673424428,176.8424331872682,,25325049007,true,2013-04-28 18:50:00,66245618,,,true,true,9145500702
ADA,ADA,Cardano,,cardano,0.2873959438125001,,6.555914448914368,22.256050119383765,90.22505522412443,163.6492762394765,127.6356310941386,677.6001880593338,,3832834827,true,2017-10-01 20:45:00,31463134113,,,true,true,9042377124
BCH,BCH,Bitcoin Cash,,bitcoin-cash,472.93,,-2.9040117431189985,15.437774811434782,72.75883199916726,85.9560277344869,111.16143283099338,78.55396558111258,,10693688765,true,2017-07-23 16:35:00,18600863,,,true,true,8796878299
DOT,DOT,Polkadot,,polkadot,8.29,,2.6403341412700834,-13.768728818563616,70.19012553193605,94.65345148838537,,,,1865481397,true,2020-08-21 10:00:00,897658000,,,true,true,7445494653
XLM,XLM,Stellar,,stellar,0.28511616645486126,,14.67568332026548,62.26388475801661,69.84708821549997,278.0880651919437,202.41649568807634,494.0353717129799,,2971352880,true,2014-08-05 05:50:00,22077107285,,,true,true,6294540196
LINK,LINK,ChainLink,,chainlink,14.57,,1.5476918030639548,3.175141492035305,15.916385466883511,32.33600595200052,73.72243398277833,570.0418259260363,,3106427353,true,2017-09-20 21:00:00,400509556,,,true,true,5837020781
BNB,BNB,Binance Coin,,binance-coin,38.57,,-0.03977095981574687,-4.349894122473423,34.112856714615376,25.294811642035615,125.42664831766352,155.76756443628372,,1638114623,true,2017-08-16 00:09:21,143458018,,,true,true,5533268953
USDC,USDC,USD Coin,,usd-coin,1.0007422429965156,,-0.0218347375014611,-0.05730133182448523,0.04175672667908751,0.04057252972622292,0.08979424479111855,-0.00018090359514678247,,4023770554,true,2018-10-08 12:10:00,4677991031,,,true,true,4681463238
WBTC,WBTC,Wrapped Bitcoin,,wrapped-bitcoin,34858,,1.6292424520894622,8.086669206606496,82.27760508998932,205.57610685483567,281.28490887819777,327.83345499205524,,528562544,true,2019-01-31 11:35:00,115710,,,true,true,4033401262
BCHSV,BSV,Bitcoin SV,,bitcoin-sv,191.24,,-3.5578665447078057,14.591588219290797,13.98458150323926,13.11787008596213,9.339385267094134,16.11056409370111,,910568400,true,2018-11-09 02:40:00,18622871,,,true,true,3561517588
XMR,XMR,Monero,,monero,162.94,,2.935025593678106,22.14443611759795,10.808383498153535,25.97298263215182,135.9060099617765,181.89275200331898,,1159549729,true,2014-05-21 01:45:00,17811120,,,true,true,2902216861
EOS,EOS,EOS,,eos,2.66,,-1.123372646183013,-6.596371248851654,-5.938689129622418,1.2260462751554095,6.485254196875832,-14.6043711534309,,5623491440,true,2017-08-07 00:09:36,939407704,,,true,true,2494563233
CEL,CEL,Celsius Network,,celsius-network,4.84,,-0.4322564325338806,-18.293118508328078,108.69926225820103,276.01797527219173,1164.3608446317535,3329.5336535913416,,15727424,true,2019-05-17 13:55:00,448913478,,,true,true,2172329939
TRX,TRX,TRON,,tron,0.029080182222222188,,-0.5731612127413441,2.34969718632347,-0.007938291076065869,8.652502766307755,69.49374404618416,98.06137242973931,,2063206668,true,2017-09-13 01:20:00,66671432938,,,true,true,1938817419
XEM,XEM,NEM,,nem,0.21461617931597227,,2.2592988436636485,5.460615809274868,-16.271254560775418,77.44417444761103,378.3749354314343,545.4093193956725,,111170956,true,2015-04-01 00:35:00,8999999999,,,true,true,1931545614
OKB,OKB,OKB,,okb,6.29,,0.16528962622639015,-14.248137695443159,12.726993116131919,4.038789545116991,22.82456323310086,117.8867671741924,,274933168,true,2018-04-17 10:27:11,282838290,,,true,true,1778875990
XTZ,XTZ,Tezos,,tezos,2.33,,-1.379595866867311,0.4910678024546195,7.170177524400434,-0.05533566334704924,-25.53275471964227,82.11815796378275,,426817862,true,2017-10-02 16:04:41,756508440,,,true,true,1766042712
THETA,THETA,Theta Token,,theta-token,1.8789318823854184,,9.232227046483931,-12.384401490038371,165.2859155136099,154.13917156057616,709.4102707978334,1875.807594423109,,329679352,true,2018-01-17 17:40:00,870502689,,,true,true,1635615258
NEO,NEO,NEO,,neo,22.83,,0.026444851408614016,38.85281606353649,33.82470821164381,31.563979420250227,114.04701786506837,130.08491007564504,,1541703468,true,2016-09-09 03:15:00,70538830,,,true,true,1610112809
SNX,SNX,Synthetix,,synthetix,14.15,,14.61673715256647,17.984334306912295,207.83642511207887,218.16927456843223,372.62075873503113,1483.845504271523,,529322506,true,2018-11-30 14:10:00,110519344,,,true,true,1564372084
CRO,CRO,Crypto.com Coin,,crypto-com-coin,0.06654808274912893,,0.14759187869257762,2.9383915787035355,9.33566760354055,-53.49623781509857,-53.16377986207319,62.71178645947047,,94817951,true,2018-12-14 13:00:00,22645694520,,,true,true,1507027553
AAVE,AAVE,Aave,,aave-token,121.68,,9.742804030686905,6.976845281229201,49.984908689804,131.96143398596246,,,,564171081,true,2020-10-05 11:00:00,12130649,,,true,true,1476062526
MKR,MKR,Maker,,maker,1471.12,,13.128310398214756,107.77947354752943,181.23686960672745,154.56718412757544,227.7591452412406,203.97312060407265,,523071546,true,2017-08-27 23:15:00,996124,,,true,true,1465420858
DAI,DAI,Multi-Collateral Dai,,dai,1.0009016471770833,,0.07326536831899709,-0.19778544228017586,0.14738687801216724,-0.8423813119623125,-1.635076381827194,1.1043284926602948,,681785330,true,2017-12-27 01:40:00,1364208813,,,true,true,1365438849
LEO,LEO,UNUS SED LEO,,unus-sed-leo,1.3353661283623697,,-0.05017284749271064,-1.074805884553561,-1.7229264709203638,12.536360797461041,14.702875411712988,56.595000769815314,,17822206,true,2019-05-21 18:40:00,999498892,,,true,true,1334696967
VET,VET,VeChain,,vechain-token,0.02365732890277778,,1.1782327361739093,-8.887146292722155,42.41384770219546,110.54686859984717,28.542608886880704,336.12872879032875,,513302288,true,2018-07-24 04:10:00,55454549399,,,true,true,1311906514
DASH,DASH,Dash,,dash,125.79,,0.5596832984500929,41.73495488215643,29.700106253979335,78.06380417466542,80.51890374237354,89.97644184740535,,2197608936,true,2014-02-14 13:50:00,9916313,,,true,true,1247346264
