symbol,display_symbol,name,aliases,shortname,last_price_usd,price_change_1H_percent,price_change_1D_percent,price_change_7D_percent,price_change_30D_percent,price_change_90D_percent,price_change_180D_percent,price_change_365D_percent,price_change_YTD_percent,volume_24_usd,display,trading_since,supply,last_update,ico_end,include_supply,use_volume,market_cap_usd
BTC,BTC,Bitcoin,,bitcoin,34038,,-2.7264609531423494,5.298124880761193,17.96129406108363,147.42630328673852,202.53748174854286,263.71408809611734,,144056482145,true,2010-08-16 00:00:00,18614569,,,true,true,633604068982
ETH,ETH,Ethereum,,ethereum,1360.31,,-0.13890255399611592,9.437977174384866,82.63703331918556,249.69356073529724,251.38663470458047,651.379896261851,,61266389537,true,2015-08-07 14:55:00,114463239,,,true,true,155705536957
USDT,USDT,Tether,,tether,1.000627858788192,,-0.07399247180822888,-0.061027404243771184,0.04697270530232916,-0.005854199840457463,0.04863554173823061,0.08174522111392105,,203871411420,true,2017-08-06 00:09:09,24834847105,,,true,true,24850439882
DOT,DOT,Polkadot,,polkadot,16.54,,-1.5420923240635698,-6.888125869090447,104.42569739808883,297.02040378245925,,,,1989253416,true,2020-08-21 10:00:00,897657999,,,true,true,14848842672
XRP,XRP,XRP,ripple,ripple,0.33883305451736123,,20.75935612449574,23.778458684581423,56.127957880123226,41.57533940909584,11.306267324974119,41.62625323141177,,18510664576,true,2013-08-04 18:55:00,43299885508,,,true,true,14671432467
ADA,ADA,Cardano,,cardano,0.34996228072222224,,-0.6443870683172175,0.5302801208126973,93.71190146298085,268.6045463861764,156.1124488870564,547.9056477344875,,2122323282,true,2017-10-01 20:45:00,31463134114,,,true,true,11010910173
LINK,LINK,ChainLink,,chainlink,22.92,,-0.9077532707684373,-3.955724014145984,102.59676448790684,104.61524731801761,170.76307786773742,704.6468381122825,,3035258238,true,2017-09-20 21:00:00,404009556,,,true,true,9261646593
LTC,LTC,Litecoin,,litecoin,132.17,,-3.8232957343296814,-4.869373399445197,5.181023241221981,139.60435015390243,127.20134731483294,95.3068765383846,,12477585403,true,2013-04-28 18:50:00,66381566,,,true,true,8773608317
BCH,BCH,Bitcoin Cash,,bitcoin-cash,405.53,,-1.7341506683106165,-6.16154557097421,16.446368882866626,53.62402196167867,38.357912738130864,6.967456601419113,,5103628269,true,2017-07-23 16:35:00,18640915,,,true,true,7559538374
BNB,BNB,Binance Coin,,binance-coin,43.95,,2.357720522082032,7.8861060690998,17.66645682444519,54.93292116230324,101.96229665348231,140.3776914729694,,1352089225,true,2017-08-16 00:09:21,154532785,,,true,true,6791663236
XLM,XLM,Stellar,,stellar,0.30192486763541676,,-2.150825466373516,11.17698488054814,138.041827341227,290.31298527500417,184.78042505027005,391.9142772033584,,3398820760,true,2014-08-05 05:50:00,22253501822,,,true,true,6718885592
USDC,USDC,USD Coin,,usd-coin,1.0000453350038911,,0.03984582360418146,-0.011726022907725345,-0.1435201649221562,0.021969694540090595,0.01325775489189656,-4.123447832751123,,4893199118,true,2018-10-08 12:10:00,5803272579,,,true,true,5803535671
DOGE,DOGE,Dogecoin,,dogecoin,0.03261792370833335,,-37.580251928180694,279.0150428002979,601.5901922339433,1166.006366611919,861.5604470728787,1259.2185560781202,,15218718416,true,2013-12-15 14:50:00,128158661413,,,true,true,4180269441
WBTC,WBTC,Wrapped Bitcoin,,wrapped-bitcoin,34073,,-2.684732108131316,5.126080433962443,17.911535792283807,148.3465051678677,203.51784237371314,263.69643445591964,,547196215,true,2019-01-31 11:35:00,115806,,,true,true,3945867208
AAVE,AAVE,Aave,,aave-token,298.41,,2.7660393636066396,47.36457982746295,258.31277788678,916.8719163276264,,,,1107707101,true,2020-10-05 11:00:00,12306785,,,true,true,3672427736
BCHSV,BSV,Bitcoin SV,,bitcoin-sv,175.17,,1.1896277306594263,0.6281628123887636,7.233952102933968,6.444178980919357,-21.99683759183368,-37.58373532174852,,481270464,true,2018-11-09 02:40:00,18638977,,,true,true,3265023837
UNI,UNI,Uniswap,,uniswap,16.51,,11.388959992035282,82.04015443313999,259.7236782403384,621.7008577617125,,,,2129279898,true,2020-09-17 07:15:00,182511944,,,true,true,3013931270
EOS,EOS,EOS,,eos,2.81,,2.1657092219100704,5.129654475173709,8.104881974819522,11.698933156415652,-7.13259179921543,-32.86090577981674,,3877674557,true,2017-08-07 00:09:36,949078329,,,true,true,2663221647
XMR,XMR,Monero,,monero,138.87,,-0.36548542646117593,0.5745308152042666,-12.292013144435822,11.050453046053978,59.471259409488766,94.65893623514175,,464253859,true,2014-05-21 01:45:00,17826596,,,true,true,2475524648
CEL,CEL,Celsius Network,,celsius-network,4.93,,-1.813279068101323,0.8220724016925637,-10.99358362880341,251.96270826624345,1033.8616692260905,3098.091380224462,,9616566,true,2019-05-17 13:55:00,448913478,,,true,true,2213654180
XTZ,XTZ,Tezos,,tezos,2.9,,-0.9210763181677248,-9.865809683216613,45.78791675586654,47.57158826561963,-3.1910294885303574,73.52478645892336,,357817426,true,2017-10-02 16:04:41,758383348,,,true,true,2199362382
TRX,TRX,TRON,,tron,0.03179376981249997,,-1.0056144318451528,10.07974847953739,18.984228817934888,23.39352184228042,61.75131843785612,68.93230258546706,,3827263299,true,2017-09-13 01:20:00,66671432938,,,true,true,2119736192
XEM,XEM,NEM,,nem,0.2315417888854165,,-1.870409032700069,6.891100890598515,21.196810458242034,137.2563443438039,317.7911399054421,445.6348131946486,,101393835,true,2015-04-01 00:35:00,8999999999,,,true,true,2083876100
SNX,SNX,Synthetix,,synthetix,17.19,,3.901853600947759,16.76108971831453,131.5747472641804,498.2181688866513,312.1452065606554,1386.9670447762169,,294222851,true,2018-11-30 14:10:00,114841532,,,true,true,1974592571
THETA,THETA,Theta Token,,theta-token,2.01,,-1.6636974599036864,3.1245078321031423,15.963757183231033,233.59782480826087,594.310124640632,1836.5280376719134,,170648244,true,2018-01-17 17:40:00,870502690,,,true,true,1752911770
