symbol,display_symbol,name,aliases,shortname,last_price_usd,price_change_1H_percent,price_change_1D_percent,price_change_7D_percent,price_change_30D_percent,price_change_90D_percent,price_change_180D_percent,price_change_365D_percent,price_change_YTD_percent,volume_24_usd,display,trading_since,supply,last_update,ico_end,include_supply,use_volume,market_cap_usd
BTC,BTC,Bitcoin,,bitcoin,33172,,-5.4091309792123665,-16.354321902072456,-11.451809867758039,-39.3495362416272,40.903541622965584,254.7839551760815,,78609740782,true,2010-08-16 00:00:00,18739846,,,true,true,621632197017
ETH,ETH,Ethereum,,ethereum,2024.37,,-6.763147049126479,-19.79884470157404,-13.777169667618905,19.54363569863584,230.8240134243613,781.4722743553796,,42688597775,true,2015-08-07 14:55:00,116380015,,,true,true,235596608029
USDT,USDT,Tether,,tether,1.000390510083036,,0.0077175717913682525,0.03526726694441495,-0.10357888184819443,0.04387835782789961,0.07393505543611924,0.02630006297026518,,633642206175,true,2017-08-06 00:09:09,61381950061,,,true,true,61405920332
BNB,BNB,Binance Coin,,binance-coin,310.42,,-6.243517554434685,-14.85987694423764,-0.7454068987519373,20.32198351991318,845.9462606928159,1828.8680652956693,,6415351642,true,2017-08-16 00:09:21,153432896,,,true,true,47629212789
ADA,ADA,Cardano,,cardano,1.312125124709974,,-5.821112996479661,-15.195195586390223,-12.603147487222746,15.721325060031516,782.9002533473702,1548.7094092495595,,3012011576,true,2017-10-01 20:45:00,31463134114,,,true,true,41283568773
XRP,XRP,XRP,ripple,ripple,0.6913435708785899,,-7.234974747821192,-21.63390489586512,-24.947906703050073,21.785197581514804,100.93424632099166,268.98483971120254,,6058931739,true,2013-08-04 18:55:00,46135372182,,,true,true,31895392949
DOGE,DOGE,Dogecoin,,dogecoin,0.2368941999187335,,-14.675032277018746,-27.174696098693957,-31.09077637001115,331.7403851298228,5426.70829883744,9550.328772952967,,3228833295,true,2013-12-15 14:50:00,130113000519,,,true,true,30823015157
USDC,USDC,USD Coin,,usd-coin,1.000024733096085,,-0.00198840722814983,0.0003031641405126031,0.02352608990591412,-0.05507296689914201,-0.03192472941806097,-0.03445358119632983,,2369862862,true,2018-10-08 12:10:00,21100000000,,,true,true,21100521868
DOT,DOT,Polkadot,,polkadot,18.04,,-10.51887040393351,-20.88800258128746,-20.671120690939972,-48.78066165358078,263.05782038496125,,,1576335432,true,2020-08-21 10:00:00,897658000,,,true,true,16197144073
UNI,UNI,Uniswap,,uniswap,18.11,,-9.193041914903773,-22.373306468283076,-13.078590413742457,-45.37377806584102,411.3853617593654,,,730448302,true,2020-09-17 07:15:00,575171205,,,true,true,10418239729
BUSD,BUSD,Binance USD,,binance-usd,1.0005370403418261,,0.019451830944941708,0.05469218772935807,0.03768963487401788,0.055921244465547984,-0.06214621848817474,-0.12955913887280074,,8740572455,true,2019-09-19 10:40:00,9695612445,,,true,true,9700819380
BCH,BCH,Bitcoin Cash,,bitcoin-cash,502.28,,-7.942679838155435,-18.67206646196294,-24.375977984055478,-3.636722313525209,67.55496802927428,116.02433643682227,,1851364188,true,2017-07-23 16:35:00,18769447,,,true,true,9427426413
LTC,LTC,Litecoin,,litecoin,139,,-8.498530937100716,-19.075120620885155,-20.82889376733416,-25.484025020262212,28.02728003525774,221.06791964033619,,2718718130,true,2013-04-28 18:50:00,66752415,,,true,true,9278407922
LINK,LINK,ChainLink,,chainlink,19.22,,-6.250385241357817,-19.08256197232256,-21.030465829894464,-29.652995085132567,60.446478972716896,360.6150707325487,,2180880712,true,2017-09-20 21:00:00,434009553,,,true,true,8342449849
SOL,SOL,Solana,,solana,30.54,,-11.41079631489136,-20.478856971200337,-14.458853147683964,109.66422234179316,2154.9562681382363,4502.646126574461,,1197409398,true,2020-04-09 08:45:00,272637427,,,true,true,8327244307
THETA,THETA,Theta Token,,theta-token,7.66,,-10.70001339054833,-15.121650734716024,17.817123454288712,-35.91051717797954,575.2738767359224,3337.55403420693,,569686577,true,2018-01-17 17:40:00,870502690,,,true,true,6669693135
WBTC,WBTC,Wrapped Bitcoin,,wrapped-bitcoin,33195,,-5.299230799752121,-16.056172053078992,-11.466313210397557,-39.351196638048556,41.05447576223205,253.69160045433983,,151674108,true,2019-01-31 11:35:00,191796,,,true,true,6366596421
MATIC,MATIC,Polygon,,matic-network,1.274505530355104,,-6.532690333335409,-14.270094877243213,-5.2378111416976,269.95867061689114,7266.47970563872,5622.212827141285,,2616960267,true,2019-04-26 15:35:00,4952830773,,,true,true,6312410212
XLM,XLM,Stellar,,stellar,0.26968499551385755,,-6.917621814116013,-20.526275878681485,-32.64171342642245,-32.62915929395566,86.50070017396824,287.7134042615479,,559210998,true,2014-08-05 05:50:00,23170089452,,,true,true,6248625470
ICP,ICP,Internet Computer,,internet-computer,41.72,,-12.896253718781372,-36.118576111875406,-70.77406633399774,,,,,404480058,true,2021-05-10 17:05:00,128985798,,,true,true,5381439009
ETC,ETC,Ethereum Classic,,ethereum-classic,45.15,,-9.713418457858344,-22.68470484114998,-24.691391271292446,269.26303672366026,702.2787397404412,624.4344481676433,,2217304941,true,2016-07-24 13:50:00,116313298,,,true,true,5251311887
DAI,DAI,Multi-Collateral Dai,,dai,1.0011606755719298,,0.006679406779659853,0.06674448271371822,-0.03691551240222407,0.13558876185860264,0.27916562760313623,-1.2056950781438276,,572561318,true,2017-12-27 01:40:00,5199477112,,,true,true,5205512019
VET,VET,VeChain,,vechain-token,0.08640042726852336,,-9.6796202646033,-22.80584317063755,-16.74507386217972,0.3647160454326217,481.39052902292383,915.3804739908153,,531692094,true,2018-07-24 04:10:00,55454549400,,,true,true,4791296762
FIL,FIL,Filecoin,,filecoin,55.27,,-12.121816563365291,-24.832848233822965,-24.275308503296348,-29.952577369224386,130.56988321722,,,826409338,true,2020-10-15 14:45:00,80773997,,,true,true,4464768762
XMR,XMR,Monero,,monero,235.75,,-10.435706123923694,-11.254560475429578,-2.0803477567969764,7.6114146960117575,47.96421780027264,265.98759728744466,,318076569,true,2014-05-21 01:45:00,17936465,,,true,true,4228575304
TRX,TRX,TRON,,tron,0.061326817916029064,,-8.66859511868535,-13.895269311948654,-19.211185722460463,2.8944037794499717,122.73555013760395,285.3767382405898,,1132871448,true,2017-09-13 01:20:00,66671432937,,,true,true,4088746828
AMP,AMP,Amp,,amp,0.07948326955632871,,-11.104253007507472,15.938593285818648,107.85720180330769,202.15982493519383,1140.1828264023723,,,91412029,true,2020-09-08 10:00:00,48072753907,,,true,true,3820979657
EOS,EOS,EOS,,eos,4,,-8.82946656904766,-21.59679215272981,-24.676874572692633,-3.5140878047860085,48.84215775699889,58.06037173842976,,2014682813,true,2017-08-07 00:09:36,954437387,,,true,true,3818330714
OKB,OKB,OKB,,okb,11.2,,-9.920464065143245,-20.952699124560283,-19.175247472450643,-17.61708439920145,86.79939009575801,133.79885180037044,,476126393,true,2018-04-17 10:27:11,282838289,,,true,true,3167548181
AAVE,AAVE,Aave,,aave-token,236.77,,-9.23097816196935,-25.06110707081804,-30.794580674758,-29.81894991107948,202.78919478414053,,,536991199,true,2020-10-05 11:00:00,12800104,,,true,true,3030713272
TFUEL,TFUEL,Theta Fuel,,theta-fuel,0.5437109985267518,,-4.365417222150042,0.4381523828291574,106.0438797515549,17.55219395524555,2684.1522413466328,5697.892951433016,,253415969,true,2019-03-20 14:25:00,5301214400,,,true,true,2882328575
SHIB,SHIB,SHIBA INU,,shiba-inu,7.153100265696709e-06,,-6.6326370030602915,3.733735456125943,-6.385772497901655,15307.732372821885,10957900.94606588,479321.102351206,,697873387,true,2020-06-15 13:50:00,394795999999999,,,true,true,2824015372
NEO,NEO,NEO,,neo,38.94,,-10.786749854450354,-22.029615484297985,-27.456821930015447,-5.9922933119896005,151.17920402814048,276.31088809780226,,479869219,true,2016-09-09 03:15:00,70538830,,,true,true,2747023234
CAKE,CAKE,PancakeSwap,,pancakeswap,14.32,,-7.003670954794054,-15.33867072959848,-9.896200813746093,24.692116016122306,2874.158295693105,,,244455157,true,2020-09-29 11:50:00,185572066,,,true,true,2657352485
