symbol,display_symbol,name,aliases,shortname,last_price_usd,price_change_1H_percent,price_change_1D_percent,price_change_7D_percent,price_change_30D_percent,price_change_90D_percent,price_change_180D_percent,price_change_365D_percent,price_change_YTD_percent,volume_24_usd,display,trading_since,supply,last_update,ico_end,include_supply,use_volume,market_cap_usd
BTC,BTC,Bitcoin,,bitcoin,6905.64,,-1.1044966853939873,-1.3407947899723718,-25.69939110120775,-54.46307447020221,43.76297595927473,484.2112583781101,,3560325737,true,2010-08-16 00:00:00,17040245,,,true,true,117673759660
ETH,ETH,Ethereum,,ethereum,404.42,,2.6060404839447466,4.732481335744943,-44.406459760431915,-68.37966500174133,33.87645000020461,826.3316308597891,,1230802380,true,2015-08-07 14:55:00,98980426,,,true,true,40029717382
XRP,XRP,XRP,ripple,ripple,0.4938451483298613,,0.363356814626646,0.9693519333902889,-40.26491368102889,-82.7658901788819,87.77036587123455,1349.4366255052905,,196780425,true,2013-08-04 18:55:00,39352000432,,,true,true,19433794491
PAC,PAC,PAC Global,,paccoin,0.0045932360000000005,,-2.8634760082500663,-1.6805451941417864,-69.17935873981537,2751.4191730403104,3289349.130921306,33858409.5469668,,75959,true,2015-11-02 22:05:00,2565461469977,,,true,true,11783769981
BCH,BCH,Bitcoin Cash,,bitcoin-cash,656.38,,0.30974364507647256,-1.6877188069004827,-36.76166672435243,-74.45944362037712,107.62612239487446,,,174301748,true,2017-07-23 16:35:00,17023856,,,true,true,11174073912
LTC,LTC,Litecoin,,litecoin,117.37,,0.42070958280545484,-1.1749570909262637,-37.29813665299634,-55.05686129192801,132.1205258644035,1160.777320036424,,179430552,true,2013-04-28 18:50:00,56091289,,,true,true,6583409767
ADA,ADA,Cardano,,cardano,0.15406089271301768,,0.8057062803888749,2.834962420543779,-27.840862291069087,-82.35788881566468,605.2992159814181,,,31703389,true,2017-10-01 20:45:00,26189811789,,,true,true,4034825784
XLM,XLM,Stellar,,stellar,0.20196400572590367,,-0.5874316898513487,-6.5257262289832365,-34.13990164958849,-67.82006024615302,950.6871019546295,7005.249501121422,,20345453,true,2014-08-05 05:50:00,18632814412,,,true,true,3763157837
NEO,NEO,NEO,,neo,52.13,,9.97777377334817,7.434345081599872,-42.814369919730375,-56.509717555650326,72.67735331833187,27460.686279045683,,126933485,true,2016-09-09 03:15:00,65344054,,,true,true,3406638050
IOT,MIOTA,IOTA,,iota,1.0130113258146967,,0.3451331585402642,-1.2567216178289096,-27.64724664842057,-72.93033728440004,112.77988177087812,,,18424128,true,2017-06-13 14:35:00,2786668545,,,true,true,2822926798
XMR,XMR,Monero,,monero,171.29,,0.14307474490176736,-3.5211308318430863,-39.43314537925088,-66.69477804724423,96.34554647107402,731.9460920600135,,21146419,true,2014-05-21 01:45:00,15949134,,,true,true,2731989244
DASH,DASH,Dash,,dash,308.5,,1.3698665066859712,2.1120555336658446,-39.801143088154966,-74.26265447429688,4.9457780170817305,363.3033550115316,,50284468,true,2014-02-14 13:50:00,8002365,,,true,true,2468757866
TRX,TRX,TRON,,tron,0.03615416532291664,,-3.051769956855087,9.765711471463707,-2.261140511556204,-74.65639501183622,1399.5587091456073,,,119052765,true,2017-09-13 01:20:00,65990056540,,,true,true,2385815414
XEM,XEM,NEM,,nem,0.2323458396655738,,2.1864761275588984,6.936175490381722,-34.26057641840847,-85.9526704626425,7.6229677389466,1075.570438139677,,15547862,true,2015-04-01 00:35:00,9049722180,,,true,true,2102665299
ETC,ETC,Ethereum Classic,,ethereum-classic,14.24,,-0.24952764211968928,-0.3556656551641213,-35.02620620546776,-64.42316487862773,24.20706136637312,435.5219191134199,,103954250,true,2016-07-24 13:50:00,98986742,,,true,true,1409134874
XVG,XVG,Verge,,verge,0.07053096558501443,,9.26409730306386,53.66161460773549,77.63391749659375,-66.64583128624709,1125.9013104081482,159880.6797602333,,73749620,true,2014-10-25 22:20:00,14798972973,,,true,true,1043785853
OMG,OMG,OMG Network,,omisego,9.36,,-0.15786966328385013,9.380339506300766,-35.01407883797224,-61.85572386376445,4.961593993995949,,,19987028,true,2017-07-14 04:40:00,102479839,,,true,true,958970628
ONT,ONT,Ontology,,ontology,3.44,,-3.559020818567403,64.38902336858534,107.25266436210974,,,,,85177704,true,2018-03-08 07:20:00,241505228,,,true,true,831636901
ICX,ICX,ICON,,icon,2.04,,-0.6190071230737482,-1.7178086901706926,-24.444386885839993,-82.74694347077107,,,,45511754,true,2017-10-27 00:25:00,389156810,,,true,true,794263704
BTG,BTG,Bitcoin Gold,,bitcoin-gold,41.77,,0.2915197065729296,-0.7578850398699913,-50.5043183500193,-84.66186001844392,,,,5579099,true,2017-10-23 19:45:00,16964776,,,true,true,708676711
