symbol,display_symbol,name,aliases,shortname,last_price_usd,price_change_1H_percent,price_change_1D_percent,price_change_7D_percent,price_change_30D_percent,price_change_90D_percent,price_change_180D_percent,price_change_365D_percent,price_change_YTD_percent,volume_24_usd,display,trading_since,supply,last_update,ico_end,include_supply,use_volume,market_cap_usd
BTC,BTC,Bitcoin,,bitcoin,10731,,-1.3437997852392414,2.515870177045866,-7.545145584659081,16.800679814863702,60.01727288525738,32.956825554941034,,23902695207,true,2010-08-16 00:00:00,18502919,,,true,true,198551103779
ETH,ETH,Ethereum,,ethereum,355.77,,-1.3363754740384446,3.8474993866257585,-13.088183541933532,55.945617035799614,156.99475030920073,106.04889924276554,,13604204070,true,2015-08-07 14:55:00,112797451,,,true,true,40129528865
USDT,USDT,Tether,,tether,1.000369765625001,,-0.040666329307168764,-0.019412662335809103,-0.0429581339411653,0.02093669352652816,0.03181072007825408,-0.030730246509776425,,43246954554,true,2017-08-06 00:09:09,15547992974,,,true,true,15553742088
XRP,XRP,XRP,ripple,ripple,0.2423824001736111,,-0.970923843168816,4.455364291284331,-13.026764704576419,37.68663357591657,36.93581733554096,-2.801093731066083,,1494305605,true,2013-08-04 18:55:00,43299885509,,,true,true,10495130177
BCH,BCH,Bitcoin Cash,,bitcoin-cash,227.07,,-1.3515163808766995,5.861316684382045,-16.996709971917866,1.3375030733162878,-0.7678753384871555,2.200341462372569,,2870125734,true,2017-07-23 16:35:00,18530843,,,true,true,4207749460
BNB,BNB,Binance Coin,,binance-coin,27.96,,4.271130286621979,17.52130928317257,20.08053373103712,78.40271791690702,116.76166515399476,82.45825510072659,,842592748,true,2017-08-16 00:09:21,144406560,,,true,true,4037490074
DOT,DOT,Polkadot,,polkadot,4.48,,1.4482212126939418,9.25315443908432,-25.559299668241103,,,,,367655184,true,2020-08-21 10:00:00,897657999,,,true,true,4019006944
LINK,LINK,ChainLink,,chainlink,10.01,,-5.958937480353479,13.315744896227264,-41.20820984385919,116.61246934050722,335.01914621127474,488.72065999509624,,1778867403,true,2017-09-20 21:00:00,349999999,,,true,true,3505075184
ADA,ADA,Cardano,,cardano,0.10089159731944448,,-2.881759503204327,23.353005245468275,-13.126748226693588,15.656329133538732,219.91672536635835,166.14893489437782,,540187776,true,2017-10-01 20:45:00,31463134113,,,true,true,3174365857
BCHSV,BSV,Bitcoin SV,,bitcoin-sv,169.26,,-1.7659800806442971,14.792563711003638,-12.094201224215817,7.643788306036785,-1.5391237810331055,100.81587229911779,,230147524,true,2018-11-09 02:40:00,18529024,,,true,true,3136160356
